naut-744 淨證
aut-134 慧琳
naut-520 性祇
naut-217 韓巖
naut-821 覺圓
naut-449 宗印
naut-16 竺佛念
naut-578 彭際清著、弟子
aut-123 若羅嚴
naut-808 文愷
naut-987 應訢
aut-217 勝德赤衣
naut-1009 良玓
naut-851 惠洇
naut-177 玄一
naut-705 普巖
aut-165 智慧
naut-1053 等純
aut-310 知禮
naut-679 元聚
aut-331 明昿
resp165 重編
resp179 等錄
aut-43 僧伽斯那
aut-73 實叉難陀
aut-527 長宴
aut-5 317-420
resp86 補
naut-1121 悟明
naut-674 林弘衍
aut-113 法天
date1 June 2007
naut-716 沈孟柈敘
naut-738 宗文
naut-408 道衡
naut-2 菩提流志
naut-430 海眼
naut-984 曇紹
resp55 科
naut-23 龍樹菩薩集
naut-288 法濟
resp178 略說
naut-284 慧洪
naut-357 戒月
naut-1144 如巹
ndiv-48 編年通史
naut-1070 宗[山/乃]
aut-297 道安
naut-154 明空私
naut-1097 祖琇
naut-374 志福
naut-109 眞鑑
resp106 俗詮
naut-1014 宗法
aut-25 僧伽斯那
naut-410 雲[山/夆]
naut-233 仲之屏
naut-265 李贄
aut-16 竺法護
naut-948 智辯
aut-194 求那跋摩
resp64 彙纂
aut-399 圓照
aut-521 仁空
naut-895 宗茙
naut-1175 唐臨
naut-519 嗣良參訂
naut-1094 道誠
aut-156 伽梵逹摩
aut-305 法藏
aut-542 房覺
naut-839 宗永
naut-316 守遂
resp85 補註
aut-465 快道
naut-684 介諶
naut-167 日新
aut-253 眾賢
aut-371 淨善
aut-461 凝然
naut-161 慧沼
naut-193 慈航智願定本
aut-603 慧日
naut-240 [這-言+亦]刪鷲
naut-955 宗寄
date44 南天竺
naut-747 普璋
naut-246 孫念劬
ndiv-06 小乘部
naut-349 志鴻
aut-259 羅什
naut-1136 通問編定、施沛
ndiv-12 小乘經竝聖賢集疏
source20 source20 source20 None
aut-528 靜然
naut-769 志諶
date27 清
role-57 法孫
aut-562 源空
naut-824 惟一
naut-342 即靜
ndiv-00 華嚴部
aut-584 了尊
naut-850 普和
naut-1036 義遠
naut-437 德圓
naut-1081 木增
aut-258 提婆
aut-492 護命
naut-708 一見
aut-168 空蜝
naut-869 汝均
resp185 疑問
naut-415 慧思
aut-462 照遠
naut-9 工布查布
naut-11 義淨
resp13 敕述
naut-436 宗[(匕/示)*頁]
resp247 等編修
aut-255 無著
aut-614 澄舜
naut-423 源清
naut-32 不空
naut-1118 胡[王*延]
naut-339 定賓
aut-469 快憲
aut-341 文才
aut-421 空海
resp45 定本
resp231 仰答
aut-467 英憲
naut-232 徐發詮
naut-59 縛日羅枳惹曩
naut-756 持志
resp213 現
naut-884 持正
naut-1 日稱
resp51 會釋
naut-200 了根
aut-219 大域龍
naut-532 道鏡
aut-143 達磨栖那
naut-634 超溟
aut-365 僧ı
aut-600 P
date31 魏
role-50 參學門人
aut-81 佛陀扇多
aut-423 圓行
aut-571 定專
naut-496 武徹
naut-105 仁嶽
aut-12 法炬
ndiv-14 小乘律疏
aut-66 竺法護
naut-1034 智湖
date13 唐
aut-211 龍樹
naut-766 延輝
aut-136 善護
aut-381 一然
aut-642 隋天
resp71 箋
aut-520 光定
aut-590 道氤
naut-134 諦閑
naut-614 善卿
naut-142 楊彥國
resp153 彙集
naut-260 慧忠
naut-1106 元敬．元復
resp36 釋
ndiv-59 朝鮮僧史
naut-694 法清
naut-691 善果
aut-149 牟尼室利
date24 遼
aut-105 曇摩耶舍
naut-805 至源
naut-973 智粵
date35 伏秦
aut-368 延壽
aut-529 光宗
naut-356 慧顯
naut-69 澄觀
naut-788 妙全
aut-363 法照
naut-15 智慧輪
resp210 纂輯
naut-1046 太泉
naut-244 行敏
naut-661 機雲重續
resp242 始集
role-51 參學小師
aut-617 覺禪
ndiv-07 
naut-1131 道行
naut-1039 德祥
resp155 集梓
naut-806 文衡
naut-574 鄭韋庵
ndiv-25 法華論疏
date15 梁
naut-294 大義
resp22 解
aut-193 曇諦
aut-477 明詮
aut-212 無著
aut-494 良遍
aut-312 靜居
naut-1025 法恭
naut-856 法澄
naut-988 明遠
naut-690 法演
naut-1088 繼僧
aut-128 輸波迦羅
resp89 硃
aut-281 八思巴
aut-472 善珠
resp76 排錄
naut-977 道哲
naut-524 陳熙願
aut-7 法賢
naut-312 本純
naut-1005 宗謐
resp198 科釋
naut-321 與咸(入疏箋經加註釋疏)
naut-190 大佑
naut-745 法從
ndiv-51 雜傳一
aut-144 尸羅跋陀羅
aut-261 護法
naut-677 楚圓
naut-1177 夏樹芳
naut-354 景霄纂
naut-617 張文憲參閱
naut-402 延壽
naut-40 金剛智
naut-210 慧能
aut-350 懷則
ndiv-30 百法竝百法明門論疏
resp42 論
aut-329 定賓
resp180 略出
resp164 隨筆
naut-178 璟興
aut-288 釋迦稱
resp214 存
resp95 輯
aut-468 安澄
naut-275 竺道生
source3 source3 source3 None
aut-307 智顗
naut-692 法[王*壽]
naut-814 紹賢
aut-241 曇摩耶舍
aut-316 元照
resp4 合
aut-275 瞿曇流支
aut-619 雙珠
naut-939 宗胤
naut-718 道謙
naut-863 子昶
aut-570 顯智
naut-388 王肯堂
naut-37 勿提提犀魚
naut-826 普明
aut-57 笈多
naut-551 俞行敏
aut-139 喇嚇嘛卜楚薩木丹達爾吉
naut-456 蒙潤
naut-866 元勗
naut-1038 清茂
naut-582 觀如
naut-270 益證
naut-126 乘[ㄓ/日]講
naut-393 神泰
aut-534 覺千
naut-1012 德初
naut-930 元皓
resp31 疏
naut-43 失
aut-115 僧伽跋摩
naut-893 宗煥
naut-433 維蠲
resp143 補譯
aut-47 法炬
naut-991 正隆
naut-274 何道全
naut-372 法敏
aut-289 自在
aut-500 實弘
date12 陳
naut-324 勝莊
ndiv-17 十地經論疏
role-52 嗣法小師
naut-789 法洪
aut-146 若那
naut-382 普泰
naut-127 眞界
aut-265 最生子
naut-628 性音
date9 北涼
aut-80 曼陀羅仙
naut-875 祖燈
naut-726 中孚
resp6 集
naut-1064 善隨
aut-577 永觀
aut-247 僧伽跋摩
aut-351 遵式
ndiv-49 諸宗通傳
resp159 撰輯
naut-796 無隱
naut-663 祖慶
aut-59 金剛智
